scheme,operation,backend,implementation,cdef_symbol,mean_ms,sd_ms,median_ms,p95_ms,min_ms,n,public_key_bytes,ciphertext_bytes,signature_bytes
ECDSA-P256,keygen,cryptography,openssl,ECDSA-P256,0.0313879200075462,0.0017400490720627768,0.031600000511389226,0.032100000680657104,0.028399997972883284,10000,64,,71.0
ECDSA-P256,sign,cryptography,openssl,ECDSA-P256,0.03464425999882224,0.001793077957897981,0.03479999941191636,0.035400000342633575,0.03139999898849055,10000,64,,71.0
ECDSA-P256,verify,cryptography,openssl,ECDSA-P256,0.08492241001004004,0.00343582379437144,0.08569999772589654,0.0870000003487803,0.07719999848632142,10000,64,,71.0
ML-DSA-44,keygen,quantcrypt-cffi,clean,PQCLEAN_MLDSA44_CLEAN,0.20403701000195723,0.026636261752200498,0.19880000036209822,0.21519999972952064,0.18450000061420724,10000,1312,,2420.0
ML-DSA-44,sign,quantcrypt-cffi,clean,PQCLEAN_MLDSA44_CLEAN,0.5795025000034002,0.3333958258104929,0.4663499994421727,1.2316250010371728,0.27240000054007396,10000,1312,,2420.0
ML-DSA-44,verify,quantcrypt-cffi,clean,PQCLEAN_MLDSA44_CLEAN,0.15134177999552775,0.015544157123846786,0.14860000010230578,0.1604999997653067,0.1429999992978992,10000,1312,,2420.0
ML-DSA-65,keygen,quantcrypt-cffi,clean,PQCLEAN_MLDSA65_CLEAN,0.31336810000502735,0.009050792446599495,0.3108000000793254,0.33429999893996865,0.29829999948560726,10000,1952,,3309.0
ML-DSA-65,sign,quantcrypt-cffi,clean,PQCLEAN_MLDSA65_CLEAN,0.8503927500003556,0.5022751833835485,0.7153999995352933,1.8195549993833984,0.38610000046901405,10000,1952,,3309.0
ML-DSA-65,verify,quantcrypt-cffi,clean,PQCLEAN_MLDSA65_CLEAN,0.2453944800028694,0.018516257363201064,0.24110000049404334,0.26030000117316376,0.23239999973156955,10000,1952,,3309.0
ML-DSA-87,keygen,quantcrypt-cffi,clean,PQCLEAN_MLDSA87_CLEAN,0.4639976399841544,0.013156872842067647,0.46099999963189475,0.4960999995091697,0.4389000005176058,10000,2592,,4627.0
ML-DSA-87,sign,quantcrypt-cffi,clean,PQCLEAN_MLDSA87_CLEAN,1.068036710004344,0.5268017432876516,0.9194999984174501,2.125904998774786,0.5885000009584473,10000,2592,,4627.0
ML-DSA-87,verify,quantcrypt-cffi,clean,PQCLEAN_MLDSA87_CLEAN,0.41148932998967214,0.022880301263892063,0.41059999966819305,0.4259999986970797,0.3957999997510342,10000,2592,,4627.0
ML-KEM-1024,decapsulate,quantcrypt-cffi,clean,PQCLEAN_MLKEM1024_CLEAN,0.1354506799911178,0.008034890397113675,0.13079999916953966,0.14399999963643495,0.12520000018412247,10000,1568,1568.0,
ML-KEM-1024,encapsulate,quantcrypt-cffi,clean,PQCLEAN_MLKEM1024_CLEAN,0.17531957998889994,0.01536067438210375,0.17740000112098642,0.18640500047695233,0.15929999972286168,10000,1568,1568.0,
ML-KEM-1024,keygen,quantcrypt-cffi,clean,PQCLEAN_MLKEM1024_CLEAN,0.16073704000536965,0.015128805311650671,0.16030000006139744,0.1716999995551305,0.15299999904527795,10000,1568,1568.0,
ML-KEM-512,decapsulate,quantcrypt-cffi,clean,PQCLEAN_MLKEM512_CLEAN,0.055981430010251645,0.0023390894150026403,0.056200000472017564,0.057199998991563916,0.05410000085248612,10000,800,768.0,
ML-KEM-512,encapsulate,quantcrypt-cffi,clean,PQCLEAN_MLKEM512_CLEAN,0.0983958899963909,0.002935595664508972,0.0988000010693213,0.10060000022349413,0.09489999865763821,10000,800,768.0,
ML-KEM-512,keygen,quantcrypt-cffi,clean,PQCLEAN_MLKEM512_CLEAN,0.09441730999114953,0.0031067730282212636,0.09440000030735973,0.09811000109039,0.09019999924930744,10000,800,768.0,
ML-KEM-768,decapsulate,quantcrypt-cffi,clean,PQCLEAN_MLKEM768_CLEAN,0.09085983999702876,0.012986130947731302,0.08929999967222102,0.0959999997576233,0.08560000060242601,10000,1184,1088.0,
ML-KEM-768,encapsulate,quantcrypt-cffi,clean,PQCLEAN_MLKEM768_CLEAN,0.12812571000795286,0.0037958915826935362,0.1281000004382804,0.13749999925494194,0.12310000056459103,10000,1184,1088.0,
ML-KEM-768,keygen,quantcrypt-cffi,clean,PQCLEAN_MLKEM768_CLEAN,0.12338305999201112,0.0033757017935042493,0.1236000007338589,0.12679999963438604,0.11830000039481092,10000,1184,1088.0,
RSA-2048,keygen,cryptography,openssl,RSA-2048,58.09409599984065,36.55815498636712,50.35620000126073,116.71277999994342,12.115199999243487,25,256,,256.0
RSA-2048,sign,cryptography,openssl,RSA-2048,0.7181951200109324,0.11284766852942588,0.6991999980527908,0.7544999973106314,0.6280999987211544,10000,256,,256.0
RSA-2048,verify,cryptography,openssl,RSA-2048,0.02951952997900662,0.0019162846407877953,0.029499999072868377,0.03170000127283856,0.026599998818710446,10000,256,,256.0
SLH-DSA-SHAKE-256s,keygen,quantcrypt-cffi,avx2,PQCLEAN_SPHINCSSHAKE256SSIMPLE_AVX2,44.98682916042496,0.8231451449844369,44.927550000466,45.632519999617216,43.59159999876283,1334,64,,29792.0
SLH-DSA-SHAKE-256s,sign,quantcrypt-cffi,avx2,PQCLEAN_SPHINCSSHAKE256SSIMPLE_AVX2,536.7658919643808,5.838283910151714,535.450450001008,547.5521199979994,525.5814000011014,112,64,,29792.0
SLH-DSA-SHAKE-256s,verify,quantcrypt-cffi,avx2,PQCLEAN_SPHINCSSHAKE256SSIMPLE_AVX2,1.1083899000004749,0.07414243348562316,1.1068999992858153,1.1885999992955476,1.0017999993578997,10000,64,,29792.0
