scheme,operation,mean_ms,sd_ms,n
ECDSA-P256,keygen,0.03138792000754615,0.001740049072062783,10000
ECDSA-P256,sign,0.0346442599988222,0.001793077957897978,10000
ECDSA-P256,verify,0.08492241001004,0.0034358237943714373,10000
ML-DSA-44,keygen,0.20403701000195723,0.026636261752200466,10000
ML-DSA-44,sign,0.5795025000034002,0.333395825810493,10000
ML-DSA-44,verify,0.15134177999552773,0.015544157123846781,10000
ML-DSA-65,keygen,0.31336810000502735,0.0090507924465995,10000
ML-DSA-65,sign,0.8503927500003556,0.5022751833835495,10000
ML-DSA-65,verify,0.2453944800028694,0.018516257363201068,10000
ML-DSA-87,keygen,0.4639976399841544,0.013156872842067527,10000
ML-DSA-87,sign,1.068036710004344,0.5268017432876517,10000
ML-DSA-87,verify,0.41148932998967214,0.02288030126389205,10000
ML-KEM-1024,decapsulate,0.13545067999111776,0.008034890397113668,10000
ML-KEM-1024,encapsulate,0.17531957998889994,0.015360674382103676,10000
ML-KEM-1024,keygen,0.1607370400053696,0.015128805311650659,10000
ML-KEM-512,decapsulate,0.0559814300102516,0.0023390894150026437,10000
ML-KEM-512,encapsulate,0.09839588999639086,0.002935595664508964,10000
ML-KEM-512,keygen,0.09441730999114947,0.0031067730282212714,10000
ML-KEM-768,decapsulate,0.09085983999702871,0.012986130947731288,10000
ML-KEM-768,encapsulate,0.12812571000795284,0.0037958915826935484,10000
ML-KEM-768,keygen,0.12338305999201107,0.0033757017935042554,10000
RSA-2048,keygen,58.09409599984065,36.55815498636712,25
RSA-2048,sign,0.7181951200109324,0.11284766852942607,10000
RSA-2048,verify,0.029519529979006573,0.0019162846407877962,10000
SLH-DSA-SHAKE-256s,keygen,44.98682916042496,0.8231451449844378,1334
SLH-DSA-SHAKE-256s,sign,536.7658919643808,5.838283910151697,112
SLH-DSA-SHAKE-256s,verify,1.1083899000004749,0.07414243348562338,10000
